|k|	charge structure factor	charge structure factor fit
3.102565143	0.4916445911	0.6206484597
3.329875986	0.5032948256	0.680345586
3.627598728	0.5006041527	0.7603879488
3.366269154	0.4994733632	0.6900191437
3.199241364	0.500238359	0.6458835791
3.141592654	0.5009406209	0.6308078295
3.199241364	0.5056990385	0.6458835791
3.366269154	0.5014723539	0.6900191437
3.627598728	0.5112597942	0.7603879488
3.366269154	0.5014723539	0.6900191437
3.199241364	0.5056990385	0.6458835791
3.141592654	0.5009406209	0.6308078295
3.199241364	0.500238359	0.6458835791
3.366269154	0.4994733632	0.6900191437
3.64435447	0.5037938356	0.7649529084
3.329875986	0.5032948256	0.680345586
3.102565143	0.4916445911	0.6206484597
2.982419933	0.4848272502	0.5896138934
2.982419933	0.4802504778	0.5896138934
3.102565143	0.4830974936	0.6206484597
3.329875986	0.5008516312	0.680345586
3.64435447	0.5099076629	0.7649529084
3.437899924	0.5114510655	0.709150326
3.329875986	0.5173698664	0.680345586
3.329875986	0.5175108314	0.680345586
3.437899924	0.5086804628	0.709150326
3.694165725	0.5135263801	0.7785605486
3.329875986	0.491189301	0.680345586
3.043085533	0.4783625007	0.6052385759
2.857227126	0.4701521397	0.5576708513
2.792526803	0.4607560635	0.5413246155
2.857227126	0.4740457535	0.5576708513
3.043085533	0.4823516309	0.6052385759
3.329875986	0.4981045127	0.680345586
3.694165725	0.5040274262	0.7785605486
3.542631465	0.5161507726	0.7373366961
3.490658504	0.527046442	0.7233176345
3.542631465	0.5171720386	0.7373366961
3.775724466	0.523206532	0.8009594939
3.366269154	0.4994542301	0.6900191437
3.02299894	0.4813821018	0.600054785
2.770624294	0.4553889334	0.5358165122
2.635389378	0.4382999241	0.5020979528
2.635389378	0.4422740638	0.5020979528
2.770624294	0.4576212168	0.5358165122
3.02299894	0.4766516685	0.600054785
3.366269154	0.5036187172	0.6900191437
3.775724466	0.5227156878	0.8009594939
3.677636937	0.5304737687	0.7740390305
3.677636937	0.5341394544	0.7740390305
3.887032804	0.5344026685	0.8317624112
3.437899924	0.5143361688	0.709150326
3.043085533	0.484498024	0.6052385759
2.726291445	0.4505557418	0.5247074205
2.517149644	0.4293743372	0.4730368285
2.443460953	0.418164283	0.4551296312
2.517149644	0.4237832129	0.4730368285
2.726291445	0.4450352788	0.5247074205
3.043085533	0.4825291038	0.6052385759
3.437899924	0.5113299489	0.709150326
3.887032804	0.5358180404	0.8317624112
3.839724354	0.5419172645	0.8186378439
4.025623769	0.5358061194	0.8704848519
3.542631465	0.5239962339	0.7373366961
3.102565143	0.4930828512	0.6206484597
2.726291445	0.4505083561	0.5247074205
2.443460953	0.4134831727	0.4551296312
2.288977855	0.3879097402	0.4181141442
2.288977855	0.3857597113	0.4181141442
2.443460953	0.4215030074	0.4551296312
2.726291445	0.4475886524	0.5247074205
3.102565143	0.482435286	0.6206484597
3.542631465	0.5208733082	0.7373366961
4.025623769	0.5335202217	0.8704848519
4.188790205	0.5469629169	0.9165863288
3.677636937	0.5341795683	0.7740390305
3.199241364	0.4965176582	0.6458835791
2.770624294	0.456851393	0.5358165122
2.418399152	0.4073229134	0.4490757728
2.179915537	0.3732118905	0.392425124
2.094395102	0.3594426215	0.3725473477
2.179915537	0.3669500351	0.392425124
2.418399152	0.4038391113	0.4490757728
2.770624294	0.4498115182	0.5358165122
3.199241364	0.5024938583	0.6458835791
3.677636937	0.5373158455	0.7740390305
3.839724354	0.532325685	0.8186378439
3.839724354	0.5363479853	0.8186378439
3.329875986	0.5067602396	0.680345586
2.857227126	0.4645989537	0.5576708513
2.443460953	0.4119294882	0.4551296312
2.123284675	0.351326853	0.3792356104
1.943516402	0.3302986324	0.3380705892
1.943516402	0.324585259	0.3380705892
2.123284675	0.3603336811	0.3792356104
2.443460953	0.4053264558	0.4551296312
2.857227126	0.4651687741	0.5576708513
3.329875986	0.5173431635	0.680345586
3.490658504	0.5320355892	0.7233176345
4.025623769	0.5393942595	0.8704848519
3.490658504	0.5194433928	0.7233176345
2.982419933	0.4802139103	0.5896138934
2.517149644	0.4235902131	0.4730368285
2.123284675	0.3615328074	0.3792356104
1.847082863	0.3196219802	0.3164466438
1.745329252	0.2986970544	0.293993111
1.847082863	0.3090912998	0.3164466438
2.123284675	0.3609032333	0.3792356104
2.517149644	0.4247915447	0.4730368285
2.982419933	0.4918743372	0.5896138934
3.141592654	0.5042725801	0.6308078295
3.677636937	0.5263649225	0.7740390305
3.677636937	0.5315235853	0.7740390305
3.141592654	0.4969901741	0.6308078295
2.635389378	0.4403091669	0.5020979528
2.179915537	0.3676628768	0.392425124
1.813799364	0.3012710512	0.309060374
1.599620682	0.2602594793	0.2625199687
1.599620682	0.2664344609	0.2625199687
1.813799364	0.3020112216	0.309060374
2.179915537	0.3656342626	0.392425124
2.635389378	0.4410870075	0.5020979528
2.792526803	0.4636859596	0.5413246155
3.329875986	0.5112960339	0.680345586
3.887032804	0.5338385701	0.8317624112
3.329875986	0.5116236806	0.680345586
2.792526803	0.4649184346	0.5413246155
2.288977855	0.3888747692	0.4181141442
1.847082863	0.3137685955	0.3164466438
1.521542767	0.246419549	0.2459997702
1.396263402	0.2212050557	0.2200218827
1.521542767	0.2457917333	0.2459997702
1.847082863	0.3086046576	0.3164466438
2.288977855	0.3889138401	0.4181141442
2.443460953	0.4129953086	0.4551296312
2.982419933	0.4835105836	0.5896138934
3.542631465	0.5192638636	0.7373366961
3.542631465	0.5224547386	0.7373366961
2.982419933	0.4699135423	0.5896138934
2.443460953	0.4195728302	0.4551296312
1.943516402	0.3296175301	0.3380705892
1.521542767	0.2491990179	0.2459997702
1.258574822	0.1951642185	0.1922662496
1.258574822	0.1961362362	0.1922662496
1.521542767	0.2444383204	0.2459997702
1.943516402	0.3284558356	0.3380705892
2.094395102	0.3576714098	0.3725473477
2.635389378	0.4498918056	0.5020979528
3.199241364	0.4962765872	0.6458835791
3.775724466	0.5172482133	0.8009594939
3.199241364	0.5110065937	0.6458835791
2.635389378	0.4412303269	0.5020979528
2.094395102	0.3564431667	0.3725473477
1.599620682	0.2657947242	0.2625199687
1.209199576	0.182706058	0.1825272567
1.047197551	0.1541851908	0.1514222086
1.209199576	0.1859110445	0.1825272567
1.599620682	0.2601300776	0.2625199687
1.745329252	0.2872236669	0.293993111
2.288977855	0.3895246089	0.4181141442
2.857227126	0.4669170976	0.5576708513
3.437899924	0.5047391057	0.709150326
3.437899924	0.5047612786	0.709150326
2.857227126	0.4673503637	0.5576708513
2.288977855	0.3924646676	0.4181141442
1.745329252	0.2888642848	0.293993111
1.258574822	0.1934922785	0.1922662496
0.9235414313	0.1277072877	0.1286200264
0.9235414313	0.1296420991	0.1286200264
1.258574822	0.1932414025	0.1922662496
1.396263402	0.2175385058	0.2200218827
1.943516402	0.3237535357	0.3380705892
2.517149644	0.4215663075	0.4730368285
3.102565143	0.4908721745	0.6206484597
3.694165725	0.501717031	0.7785605486
3.102565143	0.4929950833	0.6206484597
2.517149644	0.4273114502	0.4730368285
1.943516402	0.325740099	0.3380705892
1.396263402	0.2243721038	0.2200218827
0.9235414313	0.1276875883	0.1286200264
0.6981317008	0.08874770254	0.08942809454
0.9235414313	0.129908219	0.1286200264
1.047197551	0.1529637277	0.1514222086
1.599620682	0.2660292387	0.2625199687
2.179915537	0.3703291416	0.392425124
2.770624294	0.4491329193	0.5358165122
3.366269154	0.497676909	0.6900191437
3.366269154	0.496873796	0.6900191437
2.770624294	0.4530997276	0.5358165122
2.179915537	0.367290467	0.392425124
1.599620682	0.2647318244	0.2625199687
1.047197551	0.149475202	0.1514222086
0.6045997881	0.07550535351	0.07418836964
0.6045997881	0.0731619522	0.07418836964
0.6981317008	0.09020060301	0.08942809454
1.258574822	0.1937145144	0.1922662496
1.847082863	0.3083927631	0.3164466438
2.443460953	0.4076579213	0.4551296312
3.043085533	0.4728066027	0.6052385759
3.64435447	0.4993237853	0.7649529084
3.043085533	0.4878961444	0.6052385759
2.443460953	0.4115935564	0.4551296312
1.847082863	0.3077424765	0.3164466438
1.258574822	0.1911825389	0.1922662496
0.6981317008	0.08845556527	0.08942809454
0.3490658504	0.03618515283	0.03634813044
0.3490658504	0.03621581197	0.03634813044
0.9235414313	0.1278671771	0.1286200264
1.521542767	0.2443217188	0.2459997702
2.123284675	0.3590023518	0.3792356104
2.726291445	0.4402607083	0.5247074205
3.329875986	0.4892015755	0.680345586
3.329875986	0.4883197248	0.680345586
2.726291445	0.4516372085	0.5247074205
2.123284675	0.3600776792	0.3792356104
1.521542767	0.2471622974	0.2459997702
0.9235414313	0.1287166476	0.1286200264
0.3490658504	0.03650359064	0.03634813044
